time_ns,frame,event
11024002220,1,0
11024015213,1,1
11034047015,2,0
11046388291,3,0
11056267737,4,0
11066501465,5,0
11075235599,6,0
11085121766,7,0
11095280676,8,0
11099438265,1,2
11099456217,2,1
11099472570,1,3
11103943576,1,4
11108063756,9,0
11113012023,2,2
11113050744,2,3
11116544539,10,0
11117019144,2,4
11117034024,3,1
11129162750,11,0
11130494948,3,2
11130538373,3,3
11131251129,4,1
11134594551,3,4
11139315996,12,0
11146450533,4,2
11147648935,4,3
11147830572,13,0
11147845644,5,1
11151649623,4,4
11158089325,14,0
11161255270,5,2
11161271910,6,1
11161281671,5,3
11165243702,5,4
11167783774,15,0
11174479290,6,2
11174508443,7,1
11174527484,6,3
11177433550,16,0
11183263090,6,4
11187709071,17,0
11188010712,7,2
11188025048,8,1
11188036344,7,3
11192135020,7,4
11197376127,18,0
11201185483,8,2
11201203083,9,1
11201216171,8,3
11207174131,19,0
11207666625,8,4
11214491489,9,2
11214510658,10,1
11214530402,9,3
11217309137,20,0
11221449861,9,4
11227892187,10,2
11227911963,11,1
11227920988,10,3
11230520901,21,0
11233980326,10,4
11241105487,11,2
11241128528,12,1
11241137456,11,3
11246118780,22,0
11247199739,11,4
11254199872,12,2
11254222592,13,1
11254232833,12,3
11259021608,23,0
11260326380,12,4
11267579065,13,2
11267597689,14,1
11267605177,13,3
11273213175,24,0
11273648868,13,4
11280743307,14,2
11280764972,15,1
11280775564,14,3
11285769145,25,0
11286816214,14,4
11293804091,15,2
11293822172,16,1
11293828828,15,3
11297212027,26,0
11297785003,15,4
11306980558,16,2
11307003471,17,1
11307011343,16,3
11309636185,27,0
11313096539,16,4
11320192802,17,2
11320212675,18,1
11320220035,17,3
11322823181,28,0
11326327375,17,4
11333390038,18,2
11333411927,19,1
11333419767,18,3
11336086402,29,0
11339529059,18,4
11346553033,19,2
11346574793,20,1
11346581578,19,3
11349254613,30,0
11352710998,19,4
11359782045,20,2
11359800670,21,1
11359808286,20,3
11362398759,31,0
11365889065,20,4
11372838285,21,2
11372854702,22,1
11372859502,21,3
11375507224,32,0
11376870879,21,4
11393994881,22,2
11394008609,23,1
11394014466,22,3
11396616939,33,0
11398072724,22,4
11415105684,23,2
11415139125,23,3
11415162869,24,1
11417766175,34,0
11419163526,23,4
11436116547,24,2
11436133572,25,1
11436139396,24,3
11438733261,35,0
11440222263,24,4
11457153908,25,2
11457169268,26,1
11457179317,25,3
11459797566,36,0
11461256167,25,4
11478283495,26,2
11478298760,27,1
11478302856,26,3
11480910065,37,0
11482342425,26,4
11499591999,27,2
11499605888,28,1
11499613536,27,3
11501031528,38,0
11503591376,27,4
11522615304,28,2
11522631560,29,1
11522636936,28,3
11525243026,39,0
11526722875,28,4
11543785724,29,2
11543798108,30,1
11543803772,29,3
11546389669,40,0
11547846062,29,4
11564918863,30,2
11564933872,31,1
11564938384,30,3
11567561338,41,0
11568989890,30,4
11586057315,31,2
11586073059,32,1
11586077987,31,3
11588693741,42,0
11590129429,31,4
11607219831,32,2
11607234039,33,1
11607240407,32,3
11611297577,32,4
11611378604,43,0
11628184069,33,2
11628205286,34,1
11628213670,33,3
11630804079,44,0
11632596673,33,4
11649027568,34,2
11649043473,35,1
11649048657,34,3
11651724604,45,0
11653214054,34,4
11670163107,35,2
11670180356,36,1
11670184868,35,3
11672789261,46,0
11674379034,35,4
11691345624,36,2
11691358744,37,1
11691368441,36,3
11693985026,47,0
11695491757,36,4
11712551821,37,2
11712570158,38,1
11712577934,37,3
11715239449,48,0
11716702914,37,4
11733717185,38,2
11733733698,39,1
11733736482,38,3
11736348555,49,0
11737900663,38,4
11754810803,39,2
11754827156,40,1
11754831284,39,3
11757459454,50,0
11758937224,39,4
11775771106,40,2
11775786786,41,1
11775793442,40,3
11778405740,51,0
11779968248,40,4
11796816883,41,2
11796833395,42,1
11796835955,41,3
11800195474,52,0
11801050378,41,4
11818086250,42,2
11818102634,43,1
11818107242,42,3
11821442696,53,0
11822244927,42,4
11839220189,43,2
11839235101,44,1
11839242014,43,3
11842515898,54,0
11843408563,43,4
11860295502,44,2
11860312175,45,1
11860316559,44,3
11863531594,55,0
11864473764,44,4
11881324063,45,2
11881339647,46,1
11881345599,45,3
11883983882,56,0
11885517941,45,4
11902246124,46,2
11902262700,47,1
11902266477,46,3
11904894679,57,0
11906435394,46,4
11923448545,47,2
11923463842,48,1
11923467970,47,3
11926066123,58,0
11927696921,47,4
11944481234,48,2
11944499090,49,1
11944505394,48,3
11947095451,59,0
11948635815,48,4
11965359934,49,2
11965376414,50,1
11965380478,49,3
11968007784,60,0
11969473201,49,4
11986410287,50,2
11986426223,51,1
11986430255,50,3
11989047833,61,0
11990503298,50,4
12007404766,51,2
12007419198,52,1
12007422686,51,3
12010036232,62,0
12011557523,51,4
12028177095,52,2
12028195143,53,1
12028201224,52,3
12031568070,63,0
12032346844,52,4
12049439294,53,2
12049455326,54,1
12049457950,53,3
12052087560,64,0
12053591411,53,4
12070583185,54,2
12070598546,55,1
12070601490,54,3
12073207643,65,0
12074730406,54,4
